"lat"; "lon"; "s"; "alt"
51.636248;6.441982;101;9.101999
51.636206;6.442094;100;9.101999
51.636176;6.442153;99;7.585
51.636135;6.442233;99;9.101999
51.636089;6.44228;100;10.6189995
51.636033;6.442328;101;13.653
51.635983;6.442371;101;15.17
51.635914;6.442407;98;15.17
51.635879;6.442423;98;16.687
51.63581;6.442495;99;13.653
51.635735;6.442548;102;12.136
51.635665;6.442599;103;12.136
51.635603;6.442645;104;9.101999
51.635567;6.442652;104;7.585
51.63553;6.442669;106;9.101999
51.635499;6.44265;105;10.6189995
51.635442;6.442614;99;12.136
51.63538;6.442588;99;13.653
51.63531;6.442559;99;10.6189995
51.635213;6.442555;98;10.6189995
51.635128;6.442532;99;9.101999
51.635071;6.442513;98;9.101999
51.634991;6.442531;97;9.101999
51.634953;6.442551;98;9.101999
51.634899;6.442575;100;9.101999
51.634827;6.442651;100;9.101999
51.634775;6.44273;100;10.6189995
51.634737;6.442825;101;9.101999
51.634708;6.442931;102;7.585
51.634694;6.443038;101;7.585
51.634711;6.443136;101;10.6189995
51.634737;6.44323;99;10.6189995
51.63475;6.443311;99;10.6189995
51.634747;6.443404;98;12.136
51.634746;6.443456;100;13.653
51.634754;6.443552;97;12.136
51.634778;6.443608;98;13.653
51.634796;6.443663;99;16.687
51.634793;6.443713;97;18.203999
51.634791;6.443844;95;13.653
51.634789;6.443967;97;12.136
51.634787;6.444068;97;13.653
51.634774;6.444199;105;10.6189995
51.634765;6.444269;103;12.136
51.634745;6.444393;100;13.653
51.634738;6.444463;100;15.17
51.634752;6.44457;96;13.653
51.634753;6.44465;97;16.687
51.634738;6.444721;96;18.203999
51.634735;6.444803;95;18.203999
51.634722;6.444906;93;19.720999
51.634708;6.445013;92;21.237999
51.634676;6.445075;93;21.237999
51.634652;6.445208;93;18.203999
51.634612;6.445354;95;19.720999
51.634575;6.445475;96;16.687
51.634532;6.44558;97;13.653
51.634465;6.445695;94;15.17
51.634421;6.445767;92;13.653
51.634349;6.445894;95;10.6189995
51.634295;6.445973;98;9.101999
51.634241;6.446044;100;9.101999
51.634181;6.446107;100;7.585
51.63414;6.446165;98;7.585
51.634127;6.446183;96;7.585
51.634124;6.446197;94;7.585
51.634125;6.446204;93;7.585
51.634123;6.446207;93;7.585
51.634121;6.446202;94;6.068
51.63411;6.446219;91;7.585
51.634091;6.44623;90;6.068
51.634041;6.446282;92;7.585
51.634005;6.446344;91;9.101999
51.633967;6.446404;90;9.101999
51.633947;6.446452;89;7.585
51.633928;6.446532;86;9.101999
51.6339;6.446582;84;10.6189995
51.633866;6.446632;81;12.136
51.633835;6.4467;82;10.6189995
51.633805;6.446773;80;12.136
51.633775;6.446877;78;12.136
51.633758;6.446936;76;12.136
51.633744;6.446996;72;13.653
51.633747;6.447067;70;15.17
51.633748;6.447173;68;18.203999
51.633732;6.447296;67;19.720999
51.63371;6.447431;67;21.237999
51.633708;6.447472;67;21.237999
51.633698;6.447568;67;22.755
51.633679;6.447705;73;22.755
51.633682;6.447826;73;19.720999
51.633693;6.447922;72;19.720999
51.63371;6.447986;70;19.720999
51.633717;6.448048;72;18.203999
51.633712;6.448113;73;18.203999
51.6337;6.448155;74;16.687
51.633689;6.448189;78;16.687
